question,ground_truth,generated_answer
Hồ sơ đề nghị bổ nhiệm gồm những giấy tờ nào,"Hồ sơ bổ nhiệm Giám định viên pháp y và Giám định viên Pháp y tâm thần được quy định tại Điều 3, Thông tư số 02/2014/TT-BYT ngày 15/02/2014 của Bộ Y tế như sau: 1. Văn bản đề nghị bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần và danh sách trích ngang theo mẫu quy định tại Phụ lục số 1 ban hành kèm theo Thông tư này; 2. Bản sao chứng thực các văn bằng, chứng chỉ theo tiêu chuẩn bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần; 3. Bản sơ yếu lý lịch tự thuật theo mẫu quy định tại Phụ lục số 2 ban hành kèm theo Thông tư này, có dán ảnh màu 4cm x 6cm chụp trước thời gian nộp hồ sơ không quá 06 tháng, đóng dấu giáp lai và xác nhận của cơ quan nhà nước có thẩm quyền; 4. Phiếu lý lịch tư pháp; 5. Giấy xác nhận về thời gian thực tế hoạt động chuyên môn của cơ quan, tổ chức nơi người được đề nghị bổ nhiệm làm việc theo mẫu quy định tại Phụ lục số 3 ban hành kèm theo Thông tư này.","Hồ sơ đề nghị bổ nhiệm gồm: 1. Đơn đề nghị bổ nhiệm (theo Mẫu số 03 tại Phụ lục ban hành kèm theo Nghị định 41/2015/NĐ-CP ngày 05/5/2015 của Chính phủ quy định về mức hưởng, chế độ hưởng và mức đóng BHYT của các đối tượng được NSNN đóng BHYT). 2. Bản sao giấy chứng nhận hành nghề hoặc giấy phép hành nghề của người đề nghị bổ nhiệm. 3. Bản sao giấy chứng nhận đại lý BHYT của đại lý BHYT đề nghị bổ nhiệm."
Nhà nước có chính sách gì đối với BHYT?,"1. Nhà nước đóng hoặc hỗ trợ tiền đóng BHYT cho người có công với cách mạng và một số nhóm đối tượng xã hội. 2. Nhà nước có chính sách ưu đãi đối với hoạt động đầu tư từ quỹ BHYT để bảo toàn và tăng trưởng quỹ. Nguồn thu của quỹ và số tiền sinh lời từ hoạt động đầu tư từ quỹ BHYT được miễn thuế. 3. Nhà nước tạo điều kiện để tổ chức, cá nhân tham gia BHYT hoặc đóng BHYT cho các nhóm đối tượng. 4. Nhà nước khuyến khích đầu tư phát triển công nghệ và phương tiện kỹ thuật tiên tiến trong quản lý BHYT.",Chính sách BHYT được quy định tại Luật BHYT và Nghị định số 62/2015/NĐ-CP ngày 1/7/2015 của Chính phủ quy định về chế độ BHYT. (Điều 6 Luật BHYT)
Người tham gia BHYT đi khám chữa bệnh tại các cơ sở y tế ngoài công lập có được hưởng quyền lợi về BHYT không?,"Người tham gia BHYT khi đi khám chữa bệnh tại các cơ sở y tế ngoài công lập, Quỹ BHYT thanh toán chi phí KCB trong phạm vi được hưởng và mức hưởng theo đúng quy định nhưng chỉ tính theo giá dịch vụ áp dụng đối với các cơ sở KCB công lập tương đương tuyến chuyên môn kỹ thuật (Khoản 4 Điều 7 Nghị định số 62).","Người tham gia BHYT khi đi khám chữa bệnh tại các cơ sở y tế ngoài công lập được hưởng quyền lợi về BHYT theo quy định tại Điều 8 Luật BHYT và Điều 7, 8 Nghị định số 62/2011/NĐ-CP ngày 30/6/2011 của Chính phủ quy định về việc thực hiện các quyền lợi của người tham gia BHYT."
"Khoản 5, Điều 66 của Nghị định 36/2016/NĐ-CP quy định trong quá trình hoạt động, tổ chức thực hiện p...","Công ty đã công bố đủ điều kiện phân loại trước ngày 31/12/2018 không phải thực hiện lại thủ tục công bố, chỉ thực hiện lại thủ tục công bố nếu có thay đổi người thực hiện phân loại mà phạm vi hành nghề của người đó không có trong hồ sơ công bố đủ điều kiện phân loại trước đó.",Hồ sơ đề nghị cấp giấy phép hành nghề đối với người có chuyên môn được quy định tại Khoản 5 Điều 66 Nghị định 36/2016/NĐ-CP được thực hiện theo quy định tại Khoản 2 Điều 14 Nghị định này.
Điều kiện của cơ sở an toàn sinh học cấp I là gì?,"Điều kiện của cơ sở an toàn sinh học cấp I theo quy định tại Khoản 1, Điều 14, Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Điều 5, Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về đảm bảo an toàn sinh học tại phòng xét nghiệm, quy định khu vực xét nghiệm phải đáp ứng các điều kiện sau: 1. Điều kiện về cơ sở vật chất: Có dụng cụ rửa mắt khẩn cấp, hộp sơ cứu; 2. Điều kiện về trang thiết bị: a) Các thiết bị xét nghiệm phù hợp với kỹ thuật và mẫu bệnh phẩm hoặc vi sinh vật được xét nghiệm; b) Các trang thiết bị bảo hộ cá nhân phù hợp với loại kỹ thuật xét nghiệm thực hiện tại cơ sở xét nghiệm an toàn sinh học cấp I. 3. Điều kiện về nhân sự: a) Số lượng nhân viên: Có ít nhất 02 nhân viên xét nghiệm. Nhân viên trực tiếp thực hiện xét nghiệm vi sinh vật (sau đây gọi tắt là nhân viên xét nghiệm) phải có văn bằng, chứng chỉ đào tạo phù hợp với loại hình xét nghiệm mà cơ sở đó thực hiện; c) Nhân viên xét nghiệm, người chịu trách nhiệm về an toàn sinh học phải được tập huấn về an toàn sinh học từ cấp I trở lên; 4. Điều kiện về quy định th","Điều kiện của cơ sở an toàn sinh học cấp I là cơ sở có đầy đủ các điều kiện sau (Điều 1, Nghị định 155/2018/NĐ-CP): 1. Lãnh đạo cơ sở có trách nhiệm quản lý, tổ chức thực hiện các biện pháp an toàn sinh học trong cơ sở. 2. Cơ sở có đầy đủ trang thiết bị, dụng cụ, hóa chất, vật tư, thiết bị chuyên dùng cho phòng, chống nhiễm khuẩn. 3. Cơ sở có đủ số lượng và chất lượng nhân sự đáp ứng yêu cầu của công tác phòng, chống nhiễm khuẩn. 4. Cơ sở có chính sách, chế độ bảo hộ người lao động làm việc tại cơ sở. 5. Cơ sở có chế độ bảo mật về tài liệu, mẫu vật, vật liệu, vật tư, thiết bị, hóa chất, sinh phẩm, chế phẩm và các tài liệu khác có liên quan đến công tác phòng, chống nhiễm khuẩn."
Như thế nào là đi khám chữa bệnh BHYT đúng quy định?,"Đi khám, chữa bệnh đúng quy định (trừ trường hợp cấp cứu) là: - Đi khám chữa bệnh đúng nơi đăng ký khám chữa bệnh ban đầu ghi trên thẻ; - Có xuất trình thẻ BHYT và giấy tờ có ảnh hợp lệ (trừ trẻ em dưới 6 tuổi); - Trong trường hợp chuyển tuyến phải có giấy/hồ sơ chuyển viện và đúng tuyến chuyên môn kỹ thuật theo quy định.","- Người tham gia BHYT khi đi khám chữa bệnh phải xuất trình thẻ BHYT và giấy báo hẹn khám chữa bệnh có ghi rõ tên, ngày sinh và mã số BHYT của người tham gia BHYT. Trường hợp thẻ BHYT bị mất, bị hỏng hoặc chưa có thẻ thì phải xuất trình giấy tờ tùy thân có ảnh và giấy tờ chứng minh là người tham gia BHYT (Điều 13 Luật BHYT)."
"Quầy thuốc của tôi được cấp GPP từ năm 2016 và có bản lẻ thuốc nhỏ mắt ofloxacin, tôi có phải làm lạ...","Hoạt chất ofloxacin nằm trong danh mục dược chất bị cấm sử dụng tại một số ngành, lĩnh vực, là thuốc phải kiểm soát đặc biệt. Do đó, bản lẻ thuốc này, bạn phải nộp hồ sơ xin điều chỉnh phạm vi kinh doanh bao gồm cả thuốc kiểm soát đặc biệt về SYT để thực hiện việc cấp điều chỉnh giấy CN DĐKKDD","Theo quy định tại Điều 13, Chương III, Nghị định số 54/2017/NĐ-CP, đối tượng phải nộp phí cấp Giấy phép hoạt động bán lẻ thuốc là cơ sở bán lẻ thuốc đã được cấp Giấy chứng nhận đủ điều kiện bán lẻ thuốc. Do vậy, trường hợp của bạn không phải nộp phí cấp Giấy phép hoạt động bán lẻ thuốc."
Trường hợp một người đồng thời thuộc nhiều đối tượng hoặc có nhiều hợp đồng lao động thì đóng BHYT như thế nào?,"Trường hợp một người đồng thời thuộc nhiều đối tượng hoặc có nhiều hợp đồng lao động thì đóng như sau (Khoản 2, Điều 13, Luật BHYT): 1. Trường hợp một người đồng thời thuộc nhiều đối tượng tham gia BHYT khác nhau, thì chỉ đóng BHYT theo đối tượng đầu tiên mà người đó được xác định theo thứ tự của các đối tượng quy định trong Luật BHYT. 2. Trường hợp người lao động theo quy định của Luật BHYT nếu có thêm một hoặc nhiều hợp đồng lao động không xác định thời hạn hoặc có thời hạn từ đủ 3 tháng trở lên thì đóng BHYT theo hợp đồng lao động có mức tiền lương, tiền công cao nhất.",Người có nhiều hợp đồng lao động hoặc thuộc nhiều đối tượng tham gia BHYT thì đóng BHYT theo hợp đồng lao động hoặc đối tượng có mức đóng cao nhất.
Trình tự thực hiện thủ tục Cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO gồm có mấy bước ?,3 bước,"Trình tự thực hiện thủ tục Cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO gồm 3 bước như sau: 1. Người nộp hồ sơ phải nộp hồ sơ tại Bộ Y tế. 2. Bộ Y tế cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO. 3. Trường hợp hồ sơ không đầy đủ, trong thời gian 5 ngày làm việc kể từ ngày nhận được hồ sơ, Bộ Y tế phải thông báo cho người nộp hồ sơ về việc cần bổ sung những tài liệu nào."
"Hợp đồng khám bệnh,chữa bệnh BHYT là gì ?","Hợp đồng khám bệnh, chữa bệnh BHYT là văn bản thoả thuận giữa tổ chức BHYT với cơ sở khám bệnh, chữa bệnh về việc cung ứng dịch vụ và thanh toán chi phí khám bệnh, chữa bệnh BHYT (Khoản 1, Điều 25 Luật BHYT).","Hợp đồng khám bệnh, chữa bệnh BHYT là thỏa thuận giữa các bên về quyền và nghĩa vụ của các bên trong việc khám bệnh, chữa bệnh BHYT (Điều 12 Luật BHYT)."
