Main_Topic,Câu hỏi,Trả lời
NHỮNG VẤN ĐỀ CHUNG,Bảo hiểm y tế là gì?,"Bảo hiểm y tế là hình thức bảo hiểm được áp dụng trong lĩnh vực chăm sóc sức khỏe, không vì mục đích lợi nhuận, do Nhà nước tổ chức thực hiện và các đối tượng có trách nhiệm tham gia theo quy định của Luật BHYT (Khoản 1, Điều 2, Luật BHYT). Luật BHYT không áp dụng đối với BHYT mang tính kinh doanh (Khoản 3, Điều 1, Luật BHYT)."
NHỮNG VẤN ĐỀ CHUNG,Bảo hiểm y tế được thực hiện dựa trên nguyên tắc nào ?,"Bảo hiểm y tế được thực hiện theo 5 nguyên tắc (Điều 3, Luật BHYT): 1. Bảo đảm chia sẻ rủi ro giữa những người tham gia BHYT. 2. Mức đóng BHYT được xác định theo tỷ lệ phần trăm của tiền lương, tiền công, tiền lương hưu, tiền trợ cấp hoặc mức lương tối thiểu của khu vực hành chính. 3. Mức hưởng BHYT theo mức độ bệnh tật, nhóm đối tượng trong phạm vi quyền lợi của người tham gia BHYT. 4. Chi phí khám bệnh, chữa bệnh BHYT do quỹ BHYT và người tham gia BHYT cùng chi trả. 5. Quỹ BHYT được quản lý tập trung, thống nhất, công khai, minh bạch, bảo đảm cân đối thu, chi và được Nhà nước bảo hộ."
NHỮNG VẤN ĐỀ CHUNG,Luật BHYT được áp dụng đối với đối tượng nào?,"Luật BHYT áp dụng đối với tổ chức, cá nhân trong nước và tổ chức, cá nhân nước ngoài tại Việt Nam có liên quan đến BHYT (Khoản 2 Điều 1 Luật BHYT)."
NHỮNG VẤN ĐỀ CHUNG,Hiện nay có mấy loại hình bảo hiểm y tế đang được thực hiện?,"Từ nay đến hết 31/12/2013 các đối tượng khi chưa có trách nhiệm tham gia BHYT theo quy định của Luật BHYT thì được tự nguyện BHYT. Như vậy, từ nay đến hết năm 2013 sẽ có 2 loại hình BHYT (Khoản 3 Điều 50 Luật BHYT): 1. BHYT đối với người có trách nhiệm tham gia BHYT. 2. BHYT đối với người tự nguyện tham gia BHYT. Từ ngày 01/01/2014 toàn dân có trách nhiệm tham gia BHYT. Như vậy, chỉ còn BHYT đối với người có trách nhiệm tham gia BHYT."
NHỮNG VẤN ĐỀ CHUNG,Nhà nước có chính sách gì đối với bảo hiểm y tế?,"Chính sách của Nhà nước đối với BHYT bao gồm (Điều 4, Luật BHYT): 1. Nhà nước đóng hoặc hỗ trợ tiền đóng BHYT cho người có công với cách mạng và một số nhóm đối tượng xã hội. 2. Nhà nước có chính sách ưu đãi đối với hoạt động đầu tư từ quỹ BHYT để bảo toàn và tăng trưởng quỹ. Nguồn thu của quỹ và số tiền sinh lời từ hoạt động đầu tư từ quỹ BHYT được miễn thuế. 3. Nhà nước tạo điều kiện để tổ chức, cá nhân tham gia BHYT hoặc đóng BHYT cho các nhóm đối tượng. 4. Nhà nước khuyến khích đầu tư phát triển công nghệ và phương tiện kỹ thuật tiên tiến trong quản lý BHYT."
NHỮNG VẤN ĐỀ CHUNG,Cơ quan nào thực hiện chức năng quản lý nhà nước về BHYT?,"Cơ quan thực hiện chức năng quản lý nhà nước về BHYT được quy định như sau (Điều 5, Luật BHYT): 1. Chính phủ thống nhất quản lý nhà nước về bảo hiểm y tế. 2. Bộ Y tế chịu trách nhiệm trước Chính phủ thực hiện quản lý nhà nước về BHYT. 3. Bộ, cơ quan ngang bộ trong phạm vi nhiệm vụ, quyền hạn của mình phối hợp với Bộ Y tế thực hiện quản lý nhà nước về BHYT. 4. Uỷ ban nhân dân các cấp trong phạm vi nhiệm vụ, quyền hạn của mình thực hiện quản lý nhà nước về BHYT tại địa phương."
NHỮNG VẤN ĐỀ CHUNG,Trách nhiệm của Bộ Y tế trong quản lý nhà nước về BHYT được quy định thế nào?,"Bộ Y tế có trách nhiệm chủ trì, phối hợp với các bộ, cơ quan ngang bộ, cơ quan, tổ chức có liên quan thực hiện nhiệm vụ sau (Điều 6, Luật BHYT): 1. Xây dựng chính sách, pháp luật về BHYT, tổ chức hệ thống y tế, tuyến chuyên môn kỹ thuật y tế, nguồn tài chính phục vụ công tác bảo vệ, chăm sóc và nâng cao sức khỏe nhân dân dựa trên BHYT toàn dân; 2. Xây dựng chiến lược, quy hoạch, kế hoạch tổng thể phát triển BHYT; 3. Ban hành danh mục thuốc, vật tư y tế, dịch vụ kỹ thuật thuộc phạm vi được hưởng của người tham gia BHYT và các quy định chuyên môn kỹ thuật liên quan đến khám bệnh, chữa bệnh BHYT; 4. Xây dựng và trình Chính phủ các giải pháp nhằm bảo đảm cân đối quỹ BHYT; 5. Tuyên truyền, phổ biến chính sách, pháp luật về BHYT; 6. Chỉ đạo, hướng dẫn tổ chức triển khai thực hiện chế độ BHYT; 7. Thanh tra, kiểm tra, xử lý vi phạm và giải quyết khiếu nại, tố cáo về BHYT; 8. Theo dõi, đánh giá, tổng kết các hoạt động trong lĩnh vực BHYT; 9. Tổ chức nghiên cứu khoa học và hợp tác quốc tế về BHYT."
NHỮNG VẤN ĐỀ CHUNG,Nhiệm vụ quản lý nhà nước về BHYT của Bộ Tài chính được quy định như thế nào?,"Bộ Tài chính có trách nhiệm phối hợp với Bộ Y tế, cơ quan, tổ chức có liên quan xây dựng chính sách, pháp luật về tài chính liên quan đến BHYT và thanh tra, kiểm tra việc thực hiện các quy định của pháp luật về chế độ tài chính đối với BHYT, quỹ BHYT (Điều 7, Luật BHYT)."
NHỮNG VẤN ĐỀ CHUNG,Uỷ ban nhân dân các cấp có trách nhiệm như thế nào trong thực hiện chức năng quản lý nhà nước về BHYT?,"Trách nhiệm của Uỷ ban nhân dân các cấp về BHYT được quy định như sau (Điều 8, Luật BHYT): 1. Trong phạm vi nhiệm vụ, quyền hạn của mình, Uỷ ban nhân dân các cấp có trách nhiệm: Chỉ đạo tổ chức triển khai thực hiện chính sách, pháp luật về BHYT; Bảo đảm kinh phí đóng bảo hiểm y tế cho các đối tượng được ngân sách nhà nước đóng hoặc hỗ trợ theo quy định của Luật BHYT; Tuyên truyền, phổ biến chính sách, pháp luật về BHYT; Thanh tra, kiểm tra, xử lý vi phạm và giải quyết khiếu nại, tố cáo về BHYT. 2. Ngoài trách nhiệm nêu trên, Uỷ ban nhân dân tỉnh, thành phố trực thuộc trung ương còn có trách nhiệm quản lý, sử dụng nguồn kinh phí khám chữa bệnh BHYT kết dư tại địa phương theo quy định của Luật BHYT."
NHỮNG VẤN ĐỀ CHUNG,Cơ quan nào được giao tổ chức thực hiện chính sách BHYT?,"Luật BHYT quy định Tổ chức BHYT có chức năng thực hiện chế độ, chính sách pháp luật về BHYT, quản lý và sử dụng quỹ BHYT (Khoản 1, Điều 9, Luật BHYT). Theo quy định hiện hành (Điều 1, Nghị định số 94), BHXH Việt Nam là cơ quan thuộc Chính phủ, có chức năng tổ chức thực hiện chế độ, chính sách BHYT, tổ chức thu chi BHYT."
